id1,category,details,pnr,startTime,endTime,status,staffId,ticket id, ticketDetails,feedback,rating,sentiment,metadata,media
286,unhygenic_compartment,"The compartment was dirty, with food wrappers and papers everywhere.",18636363636,2024-10-22 14:00:00,2024-10-22 15:30:00,completed,staff286,,,"The compartment was cleaned, but the cleanliness was not ideal.",3,0.8514500920664215,image286.jpg,video286.mp4
287,management,There was no water supply in the train for a long time.,18737373737,2024-10-23 10:30:00,2024-10-23 12:00:00,completed,staff287,,,"The water supply was restored, but it caused inconvenience during the journey.",2,0.400126035416002,image287.jpg,video287.mp4
288,Electricity,"The lighting was very dim, making it difficult to read or move around.",18838383838,2024-10-24 11:00:00,2024-10-24 12:30:00,completed,staff288,,,"The lights were fixed, but they still weren't bright enough.",3,0.4020534894412982,image288.jpg,video288.mp4
289,unhygenic_toilet,"The washbasin was clogged, and there was a foul smell coming from it.",18939393939,2024-10-25 13:30:00,2024-10-25 15:00:00,completed,staff289,,,"The washbasin was fixed, but it took longer than expected.",3,0.5667821239722474,image289.jpg,video289.mp4
291,violence,"A person was drinking alcohol in the compartment, causing trouble for other passengers.",19141414141,2024-10-27 12:00:00,2024-10-27 13:30:00,completed,staff291,,,"The situation was resolved, but the incident was troubling.",3,0.6112006504699548,image291.jpg,video291.mp4
292,food,The food served was tasteless and too spicy.,19242424242,2024-10-28 11:30:00,2024-10-28 13:00:00,completed,staff292,,,"The food was replaced, but it was still not of good quality.",2,0.8147308345697473,image292.jpg,video292.mp4
293,Electricity,"The train had no proper ventilation, and it was very stuffy inside.",19343434343,2024-10-29 13:30:00,2024-10-29 15:00:00,completed,staff293,,,"The ventilation issue was fixed, but it still felt uncomfortable.",3,0.4637518938428144,image293.jpg,video293.mp4
294,management,"The train was running late, and there was no update from the staff.",19444444444,2024-10-30 10:00:00,2024-10-30 11:30:00,completed,staff294,,,"The delay was frustrating, and the staff was unhelpful.",2,0.3191957522478971,image294.jpg,video294.mp4
295,unhygenic_toilet,The toilet was leaking and creating an unpleasant smell.,19545454545,2024-10-31 12:00:00,2024-10-31 13:30:00,completed,staff295,,,"The issue was addressed, but the toilet still wasn't in good condition.",2,0.6271989248618638,image295.jpg,video295.mp4
296,violence,"There was an altercation between passengers, disturbing the whole compartment.",19646464646,2024-11-01 10:00:00,2024-11-01 11:30:00,completed,staff296,,,"The situation was handled, but it was very distressing.",3,0.7276651622460689,image296.jpg,video296.mp4
298,management,The train did not have any proper signage for the washroom or exits.,19848484848,2024-11-03 10:30:00,2024-11-03 12:00:00,completed,staff298,,,"The signage was added, but it was inconvenient to look for them.",3,0.3774136917660806,image298.jpg,video298.mp4
299,unhygenic_toilet,"The washbasin was not cleaned properly, and there was soap all over the counter.",19949494949,2024-11-04 14:00:00,2024-11-04 15:30:00,completed,staff299,,,"The washbasin was cleaned, but the soap was still stuck.",3,0.5336307075093051,image299.jpg,video299.mp4
300,damage_seat,The seat had stains and was very uncomfortable to sit on.,20050505050,2024-11-05 13:00:00,2024-11-05 14:30:00,completed,staff300,,,"The seat was replaced, but it was still not very comfortable.",3,0.8154088285541297,image300.jpg,video300.mp4
301,violence,A passenger was smoking in the compartment despite the no-smoking sign.,20151515151,2024-11-06 11:00:00,2024-11-06 12:30:00,completed,staff301,,,"The issue was addressed, but the smell persisted for a while.",3,0.3049709467832653,image301.jpg,video301.mp4
303,management,"The train's air conditioning was not working properly, making it uncomfortable.",20353535353,2024-11-08 09:00:00,2024-11-08 10:30:00,completed,staff303,,,"The issue was fixed, but the temperature remained too high.",3,0.5289866493850262,image303.jpg,video303.mp4
304,unhygenic_toilet,"The toilet was not clean, and there was no water available for washing.",20454545454,2024-11-09 10:30:00,2024-11-09 12:00:00,completed,staff304,,,"It was cleaned, but still not up to the mark.",2,0.4014757588454981,image304.jpg,video304.mp4
305,violence,"A fight broke out between two passengers, disturbing everyone around.",20555555555,2024-11-10 13:00:00,2024-11-10 14:30:00,completed,staff305,,,"The altercation was settled, but it created a tense atmosphere.",3,0.6604055994835105,image305.jpg,video305.mp4
306,Electricity,"There was no power in the train, and the lights were out for over an hour.",20656565656,2024-11-11 11:00:00,2024-11-11 12:30:00,completed,staff306,,,"The power was restored, but the delay was uncomfortable.",3,0.2321122856820523,image306.jpg,video306.mp4
307,management,The train was delayed for over an hour with no information given to passengers.,20757575757,2024-11-12 12:00:00,2024-11-12 13:30:00,completed,staff307,,,The delay was frustrating as there was no update from the staff.,2,0.3473861388334043,image307.jpg,video307.mp4
309,damage_seat,"The seat was torn and uncomfortable, which made my journey unpleasant.",20959595959,2024-11-14 11:00:00,2024-11-14 12:30:00,completed,staff309,,,"The seat was replaced, but it still wasn't comfortable enough.",3,0.8387864830885243,image309.jpg,video309.mp4
310,unhygenic_compartment,"The compartment was dirty, with wrappers and bottles left on the floor.",21060606060,2024-11-15 10:00:00,2024-11-15 11:30:00,completed,staff310,,,"The cleanliness was improved, but it still felt unclean.",3,0.6994358254276174,image310.jpg,video310.mp4
311,Electricity,"The fan was not working, and the compartment was unbearably hot.",21161616161,2024-11-16 13:00:00,2024-11-16 14:30:00,completed,staff311,,,"The fan was fixed, but the train remained uncomfortable.",3,0.4012890198856456,image311.jpg,video311.mp4
312,violence,"A group of passengers were misbehaving, causing a lot of disturbance.",21262626262,2024-11-17 12:30:00,2024-11-17 14:00:00,completed,staff312,,,"The situation was handled, but it was very stressful for other passengers.",3,0.5523802813691917,image312.jpg,video312.mp4
313,management,There was no proper guidance or staff to direct us to the correct platform.,21363636363,2024-11-18 10:00:00,2024-11-18 11:30:00,completed,staff313,,,The platform confusion caused delays and frustration for passengers.,2,0.3078339695831393,image313.jpg,video313.mp4
314,unhygenic_toilet,"The washbasin was leaking and was covered in dirt, which was unhygienic.",21464646464,2024-11-19 11:30:00,2024-11-19 13:00:00,completed,staff314,,,"The washbasin was fixed, but it was still in a poor condition.",2,0.3621518093096546,image314.jpg,video314.mp4
316,damage_window,"The window was cracked and couldn’t be opened, causing discomfort.",21666666666,2024-11-21 12:30:00,2024-11-21 14:00:00,completed,staff316,,,"The window was fixed, but it was still hard to get fresh air.",3,0.6712015521377618,image316.jpg,video316.mp4
317,management,"The train was overcrowded, and there were not enough seats available for all passengers.",21767676767,2024-11-22 10:30:00,2024-11-22 12:00:00,completed,staff317,,,The overcrowding made the journey uncomfortable for all passengers.,2,0.367686810764242,image317.jpg,video317.mp4
318,violence,A person was causing trouble by talking loudly on the phone throughout the journey.,21868686868,2024-11-23 13:00:00,2024-11-23 14:30:00,completed,staff318,,,"The person was quieted down, but it still created an uncomfortable environment.",3,0.416754477392303,image318.jpg,video318.mp4
319,unhygenic_toilet,The toilet had an awful smell and was not cleaned properly.,21969696969,2024-11-24 11:30:00,2024-11-24 13:00:00,completed,staff319,,,"The issue was addressed, but it wasn’t completely resolved.",2,0.1645596654915715,image319.jpg,video319.mp4
320,Electricity,"The train lights were very dim, making it difficult to read or see anything clearly.",22070707070,2024-11-25 12:00:00,2024-11-25 13:30:00,completed,staff320,,,"The lights were adjusted, but they were still too dim to be useful.",3,0.4855792414972555,image320.jpg,video320.mp4
322,management,There was no food or beverage service available for passengers during the journey.,22272727272,2024-11-27 10:30:00,2024-11-27 12:00:00,completed,staff322,,,The absence of food caused discomfort during the journey.,2,0.3120067307919955,image322.jpg,video322.mp4
323,damage_seat,The seat was uncomfortable and had a broken backrest.,22373737373,2024-11-28 13:00:00,2024-11-28 14:30:00,completed,staff323,,,"The seat was replaced, but it was still not ideal for sitting.",3,0.569138049523201,image323.jpg,video323.mp4
324,unhygenic_compartment,The compartment was smelly and had stains on the walls.,22474747474,2024-11-29 11:00:00,2024-11-29 12:30:00,completed,staff324,,,"The cleanliness was improved, but it was still not ideal.",3,0.7451206359787971,image324.jpg,video324.mp4
325,Electricity,"There was a power outage, and the entire train lost power for a while.",22575757575,2024-11-30 12:00:00,2024-11-30 13:30:00,completed,staff325,,,"The issue was resolved, but it caused delays in the journey.",3,0.3932747584206322,image325.jpg,video325.mp4
326,management,The train was delayed for over an hour without any notification to the passengers.,22676767676,2024-05-01 10:30:00,2024-05-01 12:00:00,completed,staff326,,,The lack of updates made the situation frustrating for passengers.,2,0.5866104793107262,image326.jpg,video326.mp4
327,violence,"A group of passengers was arguing loudly, disturbing everyone around.",22777777777,2024-05-02 11:00:00,2024-05-02 12:30:00,completed,staff327,,,The issue was addressed but caused significant discomfort for others.,3,0.3512389740205603,image327.jpg,video327.mp4
329,unhygenic_toilet,"The toilet was in a very bad condition, with no soap or tissue paper available.",22979797979,2024-05-04 10:30:00,2024-05-04 12:00:00,completed,staff329,,,"The toilet was cleaned, but the absence of supplies was inconvenient.",2,0.4045152150816515,image329.jpg,video329.mp4
330,Electricity,"The lights in the compartment were too dim, making it hard to read or see anything.",23080808080,2024-05-05 11:00:00,2024-05-05 12:30:00,completed,staff330,,,The lights were improved but still not bright enough.,3,0.4158991751059471,image330.jpg,video330.mp4
331,management,"There was no proper air circulation, and the compartment became stuffy and uncomfortable.",23181818181,2024-05-06 10:00:00,2024-05-06 11:30:00,completed,staff331,,,"The ventilation was improved, but the air quality remained poor.",3,0.3469915840934947,image331.jpg,video331.mp4
332,damage_seat,"The seat was broken and couldn't recline, causing discomfort during the journey.",23282828282,2024-05-07 13:00:00,2024-05-07 14:30:00,completed,staff332,,,"The seat was replaced, but it was still not very comfortable.",3,0.8154088285541297,image332.jpg,video332.mp4
333,unhygenic_compartment,The compartment was dirty with food wrappers and empty bottles left around.,23383838383,2024-05-08 12:30:00,2024-05-08 14:00:00,completed,staff333,,,"The cleanliness was improved, but it still felt untidy.",3,0.6389097852060005,image333.jpg,video333.mp4
335,violence,"A passenger was using offensive language loudly, disturbing others.",23585858585,2024-05-10 11:30:00,2024-05-10 13:00:00,completed,staff335,,,"The issue was dealt with, but the atmosphere was uncomfortable.",3,0.7039355887107724,image335.jpg,video335.mp4
336,Electricity,"There was no power in the train, and the lights were out for an extended period.",23686868686,2024-05-11 10:00:00,2024-05-11 11:30:00,completed,staff336,,,"The power was restored, but the outage caused significant delays.",3,0.3599033344140848,image336.jpg,video336.mp4
337,management,"The train was overcrowded, and there were no vacant seats for passengers.",23787878787,2024-05-12 12:00:00,2024-05-12 13:30:00,completed,staff337,,,The overcrowding made the journey very uncomfortable.,2,0.2668177421572855,image337.jpg,video337.mp4
338,unhygenic_toilet,"The toilet was not cleaned, and it had a foul smell all throughout the journey.",23888888888,2024-05-13 11:30:00,2024-05-13 13:00:00,completed,staff338,,,"The toilet was cleaned, but it remained unhygienic.",2,0.5569626162854254,image338.jpg,video338.mp4
340,damage_window,"The window was cracked and didn’t open, which was very uncomfortable during the journey.",24090909090,2024-05-15 13:00:00,2024-05-15 14:30:00,completed,staff340,,,"The window was fixed, but it still didn’t provide enough airflow.",3,0.4949315089467963,image340.jpg,video340.mp4
341,unhygenic_compartment,"The compartment was smelly and dirty, with garbage on the floor.",24191919191,2024-05-16 11:00:00,2024-05-16 12:30:00,completed,staff341,,,"The cleanliness was improved, but it was still uncomfortable.",3,0.5351987714995263,image341.jpg,video341.mp4
342,management,"The train was delayed, and no announcements were made regarding the status of the train.",24292929292,2024-05-17 12:00:00,2024-05-17 13:30:00,completed,staff342,,,The lack of communication caused frustration among passengers.,2,0.3955559486768756,image342.jpg,video342.mp4
343,violence,A group of passengers was misbehaving and creating a nuisance in the train.,24393939393,2024-05-18 10:00:00,2024-05-18 11:30:00,completed,staff343,,,"The situation was handled, but it created a tense atmosphere.",3,0.858359064733212,image343.jpg,video343.mp4
344,unhygenic_toilet,"The washbasin was broken, and there was no soap or water available for cleaning.",24494949494,2024-05-19 11:30:00,2024-05-19 13:00:00,completed,staff344,,,"The washbasin was fixed, but it was still dirty.",2,0.4264746831503016,image344.jpg,video344.mp4
346,management,"The train was overcrowded, and I was forced to stand for the entire journey.",24696969696,2024-05-21 10:00:00,2024-05-21 11:30:00,completed,staff346,,,The overcrowding made the journey very uncomfortable.,2,0.2668177421572855,image346.jpg,video346.mp4
347,violence,A passenger was disturbing others by loudly talking on the phone throughout the journey.,24797979797,2024-05-22 13:00:00,2024-05-22 14:30:00,completed,staff347,,,"The situation was addressed, but it still disrupted the peace in the train.",3,0.6803967229241088,image347.jpg,video347.mp4
348,Electricity,"There was a power cut in the train, and all lights went out for over an hour.",24898989898,2024-05-23 12:30:00,2024-05-23 14:00:00,completed,staff348,,,"The issue was resolved, but the power cut caused discomfort.",3,0.3715498141535617,image348.jpg,video348.mp4
349,management,"There were no announcements made for the train's arrival, and it caused confusion among passengers.",24999999999,2024-05-24 11:00:00,2024-05-24 12:30:00,completed,staff349,,,The lack of announcements led to confusion and frustration.,2,0.3552091527137702,image349.jpg,video349.mp4
350,unhygenic_toilet,"The toilet was filthy, and there was no proper sanitation in place.",25001010101,2024-05-25 10:30:00,2024-05-25 12:00:00,completed,staff350,,,"The cleanliness was improved, but the toilet was still not up to standards.",2,0.5612031398663428,image350.jpg,video350.mp4
351,management,"The train was running late, and no one gave any updates to the passengers.",25102020202,2024-05-26 10:00:00,2024-05-26 11:30:00,completed,staff351,,,The lack of communication made the wait worse for everyone.,2,0.4248709754628672,image351.jpg,video351.mp4
352,unhygenic_toilet,The toilet was leaking and unusable for a long time during the journey.,25203030303,2024-05-27 11:30:00,2024-05-27 13:00:00,completed,staff352,,,"The issue was fixed, but the leak made the situation unpleasant for a while.",2,0.4894091951784798,image352.jpg,video352.mp4
354,violence,A group of passengers were yelling at each other and disturbing everyone around.,25405050505,2024-05-29 10:30:00,2024-05-29 12:00:00,completed,staff354,,,The issue was resolved but it caused a tense environment for others.,3,0.6362483916908964,image354.jpg,video354.mp4
355,management,"The train was overcrowded, with no space to sit or stand comfortably.",25506060606,2024-05-30 11:00:00,2024-05-30 12:30:00,completed,staff355,,,The overcrowding made the journey extremely uncomfortable.,2,0.2769244773040879,image355.jpg,video355.mp4
356,damage_seat,"The seat was broken and could not recline, making it uncomfortable for long periods.",25607070707,2024-06-01 13:00:00,2024-06-01 14:30:00,completed,staff356,,,"The seat was replaced, but it still wasn't very comfortable.",3,0.8183907771159129,image356.jpg,video356.mp4
357,unhygenic_compartment,The compartment was dirty and smelled bad throughout the journey.,25708080808,2024-06-02 12:00:00,2024-06-02 13:30:00,completed,staff357,,,"The cleanliness improved, but the overall condition was still not ideal.",3,0.7864471626641122,image357.jpg,video357.mp4
358,Electricity,"The air conditioning stopped working, and the compartment became uncomfortably warm.",25809090909,2024-06-03 11:30:00,2024-06-03 13:00:00,completed,staff358,,,"The air conditioning was fixed, but it remained slightly uncomfortable.",3,0.4479629492324086,image358.jpg,video358.mp4
359,management,"There was no information about the delay of the train, and passengers were left in confusion.",25910101010,2024-06-04 10:30:00,2024-06-04 12:00:00,completed,staff359,,,The lack of updates created frustration among passengers.,2,0.3223494538484404,image359.jpg,video359.mp4
360,violence,"A passenger was fighting with others, disturbing everyone in the compartment.",26011111111,2024-06-05 11:00:00,2024-06-05 12:30:00,completed,staff360,,,"The situation was handled, but the disturbance caused discomfort to other passengers.",3,0.4883920517123045,image360.jpg,video360.mp4
361,unhygenic_toilet,The toilet was in very bad condition with broken taps and no running water.,26112121212,2024-06-06 12:00:00,2024-06-06 13:30:00,completed,staff361,,,"The toilet was cleaned, but it still didn’t meet hygiene standards.",2,0.5817963922788292,image361.jpg,video361.mp4
363,management,"There was no proper seating arrangement, and passengers were standing all through the journey.",26314141414,2024-06-08 11:00:00,2024-06-08 12:30:00,completed,staff363,,,The lack of proper seating made the journey uncomfortable.,2,0.2530600540243355,image363.jpg,video363.mp4
364,unhygenic_toilet,"The washbasin was filthy, and there was no soap or tissue available.",26415151515,2024-06-09 12:30:00,2024-06-09 14:00:00,completed,staff364,,,"The washbasin was cleaned, but it still didn’t meet hygiene standards.",2,0.5562271551216258,image364.jpg,video364.mp4
365,violence,"A person was smoking in the train, which caused discomfort to other passengers.",26516161616,2024-06-10 11:30:00,2024-06-10 13:00:00,completed,staff365,,,"The person was asked to stop, but the smell lingered.",3,0.5070513034999025,image365.jpg,video365.mp4
366,damage_window,"The window was cracked, and we could hear the wind howling through it, causing discomfort.",26617171717,2024-06-11 10:30:00,2024-06-11 12:00:00,completed,staff366,,,"The window was fixed, but it still didn’t seal properly.",3,0.518813469874029,image366.jpg,video366.mp4
367,unhygenic_compartment,"The compartment was full of garbage, and the cleanliness was poor throughout the journey.",26718181818,2024-06-12 12:00:00,2024-06-12 13:30:00,completed,staff367,,,"The cleanliness improved, but the overall condition remained unsatisfactory.",3,0.7252687495494023,image367.jpg,video367.mp4
369,management,There was a lack of staff to assist passengers during the train's journey.,26920202020,2024-06-14 10:30:00,2024-06-14 12:00:00,completed,staff369,,,The lack of assistance made the journey more stressful for passengers.,2,0.3297901018208998,image369.jpg,video369.mp4
370,violence,"A passenger was using abusive language, making the environment uncomfortable for others.",27021212121,2024-06-15 11:30:00,2024-06-15 13:00:00,completed,staff370,,,"The issue was resolved, but the incident created a tense atmosphere.",3,0.6823225434116491,image370.jpg,video370.mp4
371,Electricity,"The power was out in the train, and it took over an hour to restore the lights.",27122222222,2024-06-16 10:00:00,2024-06-16 11:30:00,completed,staff371,,,"The issue was fixed, but the outage caused inconvenience.",3,0.4237636177479182,image371.jpg,video371.mp4
372,management,"The train was delayed, and there was no proper notification or apology from the staff.",27223232323,2024-06-17 12:30:00,2024-06-17 14:00:00,completed,staff372,,,The lack of communication and courtesy made the wait more frustrating.,2,0.5175743989926015,image372.jpg,video372.mp4
373,unhygenic_toilet,"The toilet was in poor condition, with no proper sanitation and a foul smell.",27324242424,2024-06-18 11:30:00,2024-06-18 13:00:00,completed,staff373,,,"The toilet was cleaned, but it remained unsanitary.",2,0.5569626162854254,image373.jpg,video373.mp4
375,management,"The train was overcrowded, and passengers were sitting in the aisles.",27526262626,2024-06-20 11:00:00,2024-06-20 12:30:00,completed,staff375,,,The overcrowding made the journey extremely uncomfortable.,2,0.2769244773040879,image375.jpg,video375.mp4
376,management,"The train was delayed by over an hour, and no announcements were made to inform the passengers.",27627272727,2024-06-21 12:00:00,2024-06-21 13:30:00,completed,staff376,,,The delay without communication caused frustration for everyone.,2,0.4707263918729884,image376.jpg,video376.mp4
377,unhygenic_toilet,The toilet was clogged and unusable during the journey.,27728282828,2024-06-22 11:30:00,2024-06-22 13:00:00,completed,staff377,,,"The toilet was fixed, but it was inconvenient during the wait.",2,0.2615665936193245,image377.jpg,video377.mp4
378,violence,"A passenger was smoking in the non-smoking compartment, causing discomfort to others.",27829292929,2024-06-23 10:30:00,2024-06-23 12:00:00,completed,staff378,,,"The person was asked to stop, but the smell lingered throughout the journey.",3,0.5872466313232177,image378.jpg,video378.mp4
380,management,The train was overcrowded and there was no announcement regarding alternate seating arrangements.,28031313131,2024-06-25 12:30:00,2024-06-25 14:00:00,completed,staff380,,,The overcrowding made the journey uncomfortable for all passengers.,2,0.367686810764242,image380.jpg,video380.mp4
381,damage_seat,"The seat was broken, and it was uncomfortable throughout the journey.",28132323232,2024-06-26 11:30:00,2024-06-26 13:00:00,completed,staff381,,,"The seat was fixed, but it wasn’t as comfortable as expected.",3,0.7439228050019041,image381.jpg,video381.mp4
382,Electricity,The lights in the train were flickering for most of the journey.,28233333333,2024-06-27 10:30:00,2024-06-27 12:00:00,completed,staff382,,,The flickering lights caused discomfort and inconvenience.,3,0.3636350558061368,image382.jpg,video382.mp4
383,unhygenic_toilet,"The washbasin was dirty, and there was no soap or tissue paper available for use.",28334343434,2024-06-28 12:00:00,2024-06-28 13:30:00,completed,staff383,,,"The washbasin was cleaned, but the lack of supplies made it difficult to use.",2,0.5294873861047006,image383.jpg,video383.mp4
384,management,There was no staff available to assist with luggage or guide passengers to their seats.,28435353535,2024-06-29 11:00:00,2024-06-29 12:30:00,completed,staff384,,,The lack of staff caused confusion and delays while boarding.,2,0.476221798745412,image384.jpg,video384.mp4
386,unhygenic_compartment,"The compartment had an unpleasant smell, and the floor was sticky.",28637373737,2024-07-01 11:30:00,2024-07-01 13:00:00,completed,staff386,,,"The cleanliness improved, but the overall condition was still unsatisfactory.",3,0.7640178926662874,image386.jpg,video386.mp4
387,violence,"A passenger was arguing with the train staff, disturbing everyone around.",28738383838,2024-07-02 12:30:00,2024-07-02 14:00:00,completed,staff387,,,"The issue was resolved, but the atmosphere remained tense.",3,0.7563996777131909,image387.jpg,video387.mp4
388,Electricity,"The air conditioning wasn’t working properly, making the compartment too hot and uncomfortable.",28839393939,2024-07-03 11:00:00,2024-07-03 12:30:00,completed,staff388,,,"The air conditioning was fixed, but the temperature remained uncomfortable.",3,0.3696475298242004,image388.jpg,video388.mp4
389,damage_window,"The window couldn’t be closed, and cold air kept blowing in.",28940404040,2024-07-04 10:30:00,2024-07-04 12:00:00,completed,staff389,,,"The window was fixed, but the cold air was uncomfortable.",3,0.2121608990381286,image389.jpg,video389.mp4
390,management,The train was delayed without any proper communication from the staff to passengers.,29041414141,2024-07-05 12:00:00,2024-07-05 13:30:00,completed,staff390,,,The lack of updates made the situation worse for everyone.,2,0.6890868288414925,image390.jpg,video390.mp4
391,unhygenic_toilet,"The toilet was unusable, with overflowing waste and a very bad smell.",29142424242,2024-07-06 11:30:00,2024-07-06 13:00:00,completed,staff391,,,"The toilet was cleaned, but the condition remained unsatisfactory.",2,0.5738123092455157,image391.jpg,video391.mp4
392,violence,A passenger was yelling and causing a disturbance by threatening others.,29243434343,2024-07-07 12:30:00,2024-07-07 14:00:00,completed,staff392,,,"The disturbance was handled, but it made other passengers uncomfortable.",3,0.2356752079550821,image392.jpg,video392.mp4
394,Electricity,"The train lights were switched off for long periods of time, making it difficult to see or read.",29445454545,2024-07-09 11:30:00,2024-07-09 13:00:00,completed,staff394,,,"The lighting was restored, but the long duration without light was inconvenient.",3,0.335139718758135,image394.jpg,video394.mp4
395,management,There were no clean drinking water facilities available on the train.,29546464646,2024-07-10 10:30:00,2024-07-10 12:00:00,completed,staff395,,,The lack of water created discomfort for passengers throughout the journey.,2,0.3926623018294296,image395.jpg,video395.mp4
396,unhygenic_toilet,"The washbasin was broken, and there was no soap or tissue to use.",29647474747,2024-07-11 11:00:00,2024-07-11 12:30:00,completed,staff396,,,"The washbasin was fixed, but the lack of soap and tissue remained an issue.",2,0.5566845773679793,image396.jpg,video396.mp4
397,management,"There was no proper seating arrangement, and passengers had to stand in the aisles.",29748484848,2024-07-12 10:00:00,2024-07-12 11:30:00,completed,staff397,,,The lack of seating caused discomfort for everyone on board.,2,0.4610878467773417,image397.jpg,video397.mp4
399,unhygenic_compartment,"The compartment was extremely dirty, and the floor was covered in garbage.",29950505050,2024-07-14 12:30:00,2024-07-14 14:00:00,completed,staff399,,,"The cleanliness was addressed, but the initial condition was disappointing.",3,0.3598410437995347,image399.jpg,video399.mp4
400,violence,"A passenger was misbehaving with the staff, causing a scene in front of other passengers.",30051515151,2024-07-15 11:00:00,2024-07-15 12:30:00,completed,staff400,,,"The situation was managed, but it left a bad impression on passengers.",3,0.5450405916415906,image400.jpg,video400.mp4
401,management,"There were no proper announcements regarding the train’s route, causing confusion among passengers.",30152525252,2024-07-16 12:00:00,2024-07-16 13:30:00,completed,staff401,,,The lack of announcements made it difficult to know the train's current position.,2,0.8367949886770152,image401.jpg,video401.mp4
402,damage_window,The window was stuck and couldn’t be opened to let in fresh air.,30253535353,2024-07-17 11:30:00,2024-07-17 13:00:00,completed,staff402,,,"The window was repaired, but it caused discomfort during the wait.",3,0.3273307870715759,image402.jpg,video402.mp4
403,unhygenic_toilet,"The toilet was not cleaned for the entire journey, making it unbearable to use.",30354545454,2024-07-18 12:00:00,2024-07-18 13:30:00,completed,staff403,,,"The toilet remained dirty throughout the trip, which was very unpleasant.",2,0.435192393095646,image403.jpg,video403.mp4
405,violence,A passenger was disturbing others by shouting loudly during the entire journey.,30556565656,2024-07-20 11:30:00,2024-07-20 13:00:00,completed,staff405,,,"The situation was handled, but it made everyone uncomfortable during the trip.",3,0.6916389143109439,image405.jpg,video405.mp4
406,management,"The train was delayed by over two hours, and no information was provided to the passengers.",30657575757,2024-07-21 12:00:00,2024-07-21 13:30:00,completed,staff406,,,The lack of updates caused a lot of frustration for the passengers.,2,0.444905800433155,image406.jpg,video406.mp4
407,unhygenic_compartment,"The compartment was not cleaned, and the seats were stained with dirt.",30758585858,2024-07-22 11:00:00,2024-07-22 12:30:00,completed,staff407,,,"The cleanliness issue was resolved, but the overall condition was still not up to mark.",3,0.6739343015679421,image407.jpg,video407.mp4
409,Electricity,"The air conditioning was not working, and it made the journey extremely uncomfortable.","30960606060,2024-07-24 12:00:00""",2024-07-24 13:30:00,completed,staff409,,,"The air conditioning was fixed, but it was still too hot inside.",3,neutral,0.3106791136815708,video409.mp4,
410,unhygenic_toilet,The washbasin was dirty and there was no soap available for use.,"31061616161,2024-07-25 11:00:00""",2024-07-25 12:30:00,completed,staff410,,,"The washbasin was cleaned, but there was still no soap or tissue.",2,negative,0.3106791136815708,video410.mp4,
411,management,The train conductor was rude and unhelpful when passengers asked about the delays.,31162626262,2024-07-26 12:00:00,2024-07-26 13:30:00,completed,staff411,,,The lack of professionalism from the staff made the situation worse.,2,0.8307135142200456,image411.jpg,video411.mp4
412,violence,There was a fight between two passengers over seat reservations.,"31263636363,2024-07-27 11:30:00""",2024-07-27 13:00:00,completed,staff412,,,"The fight was handled, but it caused anxiety among the other passengers.",3,neutral,0.3106791136815708,video412.mp4,
413,damage_seat,The seat was broken and not fixed even after several complaints.,"31364646464,2024-07-28 12:00:00""",2024-07-28 13:30:00,completed,staff413,,,The broken seat remained uncomfortable throughout the journey.,2,negative,0.3106791136815708,video413.mp4,
414,unhygenic_toilet,"The toilet had a foul smell, and there was no toilet paper available.","31465656565,2024-07-29 11:00:00""",2024-07-29 12:30:00,completed,staff414,,,The lack of toilet paper and unpleasant smell made it difficult to use.,2,negative,0.3106791136815708,video414.mp4,
415,management,"There were no clean drinking water facilities, and the vending machines were not working.","31566666666,2024-07-30 12:30:00""",2024-07-30 14:00:00,completed,staff415,,,The lack of water made the journey uncomfortable for everyone.,2,negative,0.3106791136815708,video415.mp4,
417,violence,"A passenger was smoking in the non-smoking zone, causing inconvenience to other passengers.","31768686868,2024-08-01 10:30:00""",2024-08-01 12:00:00,completed,staff417,,,"The smoking issue was handled, but it caused discomfort to other passengers.",3,neutral,0.3106791136815708,video417.mp4,
418,Electricity,"The lights in the train were too dim, making it difficult to read or work during the journey.","31869696969,2024-08-02 11:00:00""",2024-08-02 12:30:00,completed,staff418,,,"The dim lighting caused discomfort, and it was difficult to read or see.",3,neutral,0.3106791136815708,video418.mp4,
419,damage_seat,"The seat recliner was broken, and it couldn’t be adjusted.","31970707070,2024-08-03 12:00:00""",2024-08-03 13:30:00,completed,staff419,,,The broken recliner was a significant discomfort during the journey.,2,negative,0.3106791136815708,video419.mp4,
420,management,"The train was running late, and no announcement was made regarding the reason for the delay.","32071717171,2024-08-04 11:30:00""",2024-08-04 13:00:00,completed,staff420,,,The lack of communication regarding the delay made passengers anxious.,2,negative,0.3106791136815708,video420.mp4,
422,unhygenic_compartment,The compartment was dirty and had a strong unpleasant odor throughout the journey.,"32273737373,2024-08-06 11:00:00""",2024-08-06 12:30:00,completed,staff422,,,The unpleasant smell and dirty conditions were very uncomfortable.,2,negative,0.3106791136815708,video422.mp4,
423,violence,A passenger was loudly arguing with the staff and disturbing others around them.,"32374747474,2024-08-07 12:30:00""",2024-08-07 14:00:00,completed,staff423,,,"The situation was handled, but the disturbance affected the entire compartment.",3,neutral,0.3106791136815708,video423.mp4,
424,Electricity,"The train's air conditioning was not working properly, and it was unbearably hot inside.","32475757575,2024-08-08 11:30:00""",2024-08-08 13:00:00,completed,staff424,,,"The air conditioning was restored, but it was still uncomfortable inside.",3,neutral,0.3106791136815708,video424.mp4,
